,sents,name,href,sent_without
0,Cтоит в поле теремок.,Теремок,https://skazki-pesni.ru/teremok/,cтоит в поле теремок 
1,Бежит мимо мышка-норушка.,Теремок,https://skazki-pesni.ru/teremok/,бежит мимо мышка-норушка 
2,"Увидела теремок, остановилась и спрашивает: – Терем-теремок!",Теремок,https://skazki-pesni.ru/teremok/,увидела теремок остановилась и спрашивает терем-теремок 
3,Кто в тереме живёт?,Теремок,https://skazki-pesni.ru/teremok/,кто в тереме живёт 
4,Никто не отзывается.,Теремок,https://skazki-pesni.ru/teremok/,никто не отзывается 
5,Вошла мышка в теремок и стала в нём жить.,Теремок,https://skazki-pesni.ru/teremok/,вошла мышка в теремок и стала в нём жить 
6,Прискакала к терему лягушка-квакушка и спрашивает: – Терем-теремок!,Теремок,https://skazki-pesni.ru/teremok/,прискакала к терему лягушка-квакушка и спрашивает терем-теремок 
7,Кто в тереме живёт?,Теремок,https://skazki-pesni.ru/teremok/,кто в тереме живёт 
8,"– Я, мышка-норушка!",Теремок,https://skazki-pesni.ru/teremok/, я мышка-норушка 
9,А ты кто?,Теремок,https://skazki-pesni.ru/teremok/,а ты кто 
10,– А я лягушка-квакушка.,Теремок,https://skazki-pesni.ru/teremok/, а я лягушка-квакушка 
11,– Иди ко мне жить!,Теремок,https://skazki-pesni.ru/teremok/, иди ко мне жить 
12,Лягушка прыгнула в теремок.,Теремок,https://skazki-pesni.ru/teremok/,лягушка прыгнула в теремок 
13,Стали они вдвоём жить.,Теремок,https://skazki-pesni.ru/teremok/,стали они вдвоём жить 
14,Бежит мимо зайчик-побегайчик.,Теремок,https://skazki-pesni.ru/teremok/,бежит мимо зайчик-побегайчик 
15,Остановился и спрашивает: – Терем-теремок!,Теремок,https://skazki-pesni.ru/teremok/,остановился и спрашивает терем-теремок 
16,Кто в тереме живёт?,Теремок,https://skazki-pesni.ru/teremok/,кто в тереме живёт 
17,"– Я, мышка-норушка!",Теремок,https://skazki-pesni.ru/teremok/, я мышка-норушка 
18,"– Я, лягушка-квакушка.",Теремок,https://skazki-pesni.ru/teremok/, я лягушка-квакушка 
19,– А ты кто?,Теремок,https://skazki-pesni.ru/teremok/, а ты кто 
20,– А я зайчик-побегайчик – Иди к нам жить!,Теремок,https://skazki-pesni.ru/teremok/, а я зайчик-побегайчик иди к нам жить 
21,Заяц скок в теремок!,Теремок,https://skazki-pesni.ru/teremok/,заяц скок в теремок 
22,Стали они втроём жить.,Теремок,https://skazki-pesni.ru/teremok/,стали они втроём жить 
23,Идёт лисичка-сестричка.,Теремок,https://skazki-pesni.ru/teremok/,идёт лисичка-сестричка 
24,Постучала в окошко и спрашивает: – Терем-теремок!,Теремок,https://skazki-pesni.ru/teremok/,постучала в окошко и спрашивает терем-теремок 
25,Кто в тереме живёт?,Теремок,https://skazki-pesni.ru/teremok/,кто в тереме живёт 
26,"– Я, мышка-норушка!",Теремок,https://skazki-pesni.ru/teremok/, я мышка-норушка 
27,"– Я, лягушка-квакушка.",Теремок,https://skazki-pesni.ru/teremok/, я лягушка-квакушка 
28,"– Я, зайчик-побегайчик.",Теремок,https://skazki-pesni.ru/teremok/, я зайчик-побегайчик 
29,– А ты кто?,Теремок,https://skazki-pesni.ru/teremok/, а ты кто 
30,– А я лисичка-сестричка.,Теремок,https://skazki-pesni.ru/teremok/, а я лисичка-сестричка 
31,– Иди к нам жить!,Теремок,https://skazki-pesni.ru/teremok/, иди к нам жить 
32,Забралась лисичка в теремок.,Теремок,https://skazki-pesni.ru/teremok/,забралась лисичка в теремок 
33,Стали они вчетвером жить.,Теремок,https://skazki-pesni.ru/teremok/,стали они вчетвером жить 
34,"Прибежал волчок-серый бочок, заглянул в дверь, и спрашивает: – Терем-теремок!",Теремок,https://skazki-pesni.ru/teremok/,прибежал волчок-серый бочок заглянул в дверь и спрашивает терем-теремок 
35,Кто в тереме живёт?,Теремок,https://skazki-pesni.ru/teremok/,кто в тереме живёт 
36,"– Я, мышка-норушка!",Теремок,https://skazki-pesni.ru/teremok/, я мышка-норушка 
37,"– Я, лягушка-квакушка.",Теремок,https://skazki-pesni.ru/teremok/, я лягушка-квакушка 
38,"– Я, зайчик-побегайчик.",Теремок,https://skazki-pesni.ru/teremok/, я зайчик-побегайчик 
39,"– Я, лисичка-сестричка.",Теремок,https://skazki-pesni.ru/teremok/, я лисичка-сестричка 
40,– А ты кто?,Теремок,https://skazki-pesni.ru/teremok/, а ты кто 
41,– А я волчок-серый бочок.,Теремок,https://skazki-pesni.ru/teremok/, а я волчок-серый бочок 
42,– Иди к нам жить!,Теремок,https://skazki-pesni.ru/teremok/, иди к нам жить 
43,Волк и влез в теремок.,Теремок,https://skazki-pesni.ru/teremok/,волк и влез в теремок 
44,Стали впятером жить.,Теремок,https://skazki-pesni.ru/teremok/,стали впятером жить 
45,"Вот они все в теремке живут, песни поют.",Теремок,https://skazki-pesni.ru/teremok/,вот они все в теремке живут песни поют 
46,Вдруг идёт мимо медведь косолапый.,Теремок,https://skazki-pesni.ru/teremok/,вдруг идёт мимо медведь косолапый 
47,"Увидел медведь теремок, услыхал песни, остановился и заревел во всю мочь: – Терем-теремок!",Теремок,https://skazki-pesni.ru/teremok/,увидел медведь теремок услыхал песни остановился и заревел во всю мочь терем-теремок 
48,Кто в тереме живёт?,Теремок,https://skazki-pesni.ru/teremok/,кто в тереме живёт 
49,"– Я, мышка-норушка!",Теремок,https://skazki-pesni.ru/teremok/, я мышка-норушка 
50,"– Я, лягушка-квакушка.",Теремок,https://skazki-pesni.ru/teremok/, я лягушка-квакушка 
51,"– Я, зайчик-побегайчик.",Теремок,https://skazki-pesni.ru/teremok/, я зайчик-побегайчик 
52,"– Я, лисичка-сестричка.",Теремок,https://skazki-pesni.ru/teremok/, я лисичка-сестричка 
53,"– Я, волчок-серый бочок.",Теремок,https://skazki-pesni.ru/teremok/, я волчок-серый бочок 
54,– А ты кто?,Теремок,https://skazki-pesni.ru/teremok/, а ты кто 
55,– А я медведь косолапый.,Теремок,https://skazki-pesni.ru/teremok/, а я медведь косолапый 
56,– Иди к нам жить!,Теремок,https://skazki-pesni.ru/teremok/, иди к нам жить 
57,Медведь и полез в теремок.,Теремок,https://skazki-pesni.ru/teremok/,медведь и полез в теремок 
58,"Лез-лез, лез-лез – никак не мог влезть и говорит: – Я лучше у вас на крыше буду жить.",Теремок,https://skazki-pesni.ru/teremok/,лез-лез лез-лез никак не мог влезть и говорит я лучше у вас на крыше буду жить 
59,– Да ты нас раздавишь!,Теремок,https://skazki-pesni.ru/teremok/, да ты нас раздавишь 
60,"– Нет, не раздавлю.",Теремок,https://skazki-pesni.ru/teremok/, нет не раздавлю 
61,– Ну так полезай!,Теремок,https://skazki-pesni.ru/teremok/, ну так полезай 
62,Влез медведь на крышу и только уселся – трах!,Теремок,https://skazki-pesni.ru/teremok/,влез медведь на крышу и только уселся трах 
63,– раздавил теремок.,Теремок,https://skazki-pesni.ru/teremok/, раздавил теремок 
64,"Затрещал теремок, упал на бок и весь развалился.",Теремок,https://skazki-pesni.ru/teremok/,затрещал теремок упал на бок и весь развалился 
65,"Еле-еле успели из него выскочить: мышка-норушка, лягушка-квакушка, зайчик-побегайчик, лисичка-сестричка, волчок-серый бочок – все целы и невредимы.",Теремок,https://skazki-pesni.ru/teremok/,еле-еле успели из него выскочить мышка-норушка лягушка-квакушка зайчик-побегайчик лисичка-сестричка волчок-серый бочок все целы и невредимы 
66,"Принялись они брёвна носить, доски пилить – новый теремок строить.",Теремок,https://skazki-pesni.ru/teremok/,принялись они брёвна носить доски пилить новый теремок строить 
67,Лучше прежнего выстроили!,Теремок,https://skazki-pesni.ru/teremok/,лучше прежнего выстроили 
68,"Посадил дед репку и говорит: — Расти, расти, репка, сладка!",Репка,https://skazki-pesni.ru/repka/,посадил дед репку и говорит расти расти репка сладка 
69,"Расти, расти, репка, крепка!",Репка,https://skazki-pesni.ru/repka/,расти расти репка крепка 
70,"Выросла репка сладка, крепка, большая-пребольшая.",Репка,https://skazki-pesni.ru/repka/,выросла репка сладка крепка большая-пребольшая 
71,"Пошел дед репку рвать: тянет-потянет, вытянуть не может.",Репка,https://skazki-pesni.ru/repka/,пошел дед репку рвать тянет-потянет вытянуть не может 
72,Позвал дед бабку.,Репка,https://skazki-pesni.ru/repka/,позвал дед бабку 
73,"Бабка за дедку, Дедка за репку — Тянут-потянут, вытянуть не могут.",Репка,https://skazki-pesni.ru/repka/,бабка за дедку дедка за репку тянут-потянут вытянуть не могут 
74,Позвала бабка внучку.,Репка,https://skazki-pesni.ru/repka/,позвала бабка внучку 
75,"Внучка за бабку, Бабка за дедку, Дедка за репку — Тянут-потянут, вытянуть не могут.",Репка,https://skazki-pesni.ru/repka/,внучка за бабку бабка за дедку дедка за репку тянут-потянут вытянуть не могут 
76,Позвала внучка Жучку.,Репка,https://skazki-pesni.ru/repka/,позвала внучка жучку 
77,"Жучка за внучку, Внучка за бабку, Бабка за дедку, Дедка за репку — Тянут-потянут, вытянуть не могут.",Репка,https://skazki-pesni.ru/repka/,жучка за внучку внучка за бабку бабка за дедку дедка за репку тянут-потянут вытянуть не могут 
78,Позвала Жучка кошку.,Репка,https://skazki-pesni.ru/repka/,позвала жучка кошку 
79,"Кошка за Жучку, Жучка за внучку, Внучка за бабку, Бабка за дедку, Дедка за репку — Тянут-потянут, вытянуть не могут.",Репка,https://skazki-pesni.ru/repka/,кошка за жучку жучка за внучку внучка за бабку бабка за дедку дедка за репку тянут-потянут вытянуть не могут 
80,Позвала кошка мышку.,Репка,https://skazki-pesni.ru/repka/,позвала кошка мышку 
81,"Мышка за кошку, Кошка за Жучку, Жучка за внучку, Внучка за бабку, Бабка за дедку, Дедка за репку — Тянут-потянут — и вытянули репку.",Репка,https://skazki-pesni.ru/repka/,мышка за кошку кошка за жучку жучка за внучку внучка за бабку бабка за дедку дедка за репку тянут-потянут и вытянули репку 
82,Художник Марина Федотова.,Репка,https://skazki-pesni.ru/repka/,художник марина федотова 
83,Жили-были в лесу лисичка и зайка.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,жили-были в лесу лисичка и зайка 
84,Жили они неподалёку друг от друга.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,жили они неподалёку друг от друга 
85,Пришла осень.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,пришла осень 
86,Холодно стало в лесу.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,холодно стало в лесу 
87,Решили они избушки на зиму построить.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,решили они избушки на зиму построить 
88,"Лисичка построила себе избушку из сыпучего снежка, а зайчик — из сыпучего песка.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,лисичка построила себе избушку из сыпучего снежка а зайчик из сыпучего песка 
89,Перезимовали они в новых избушках.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,перезимовали они в новых избушках 
90,"Настала весна, пригрело солнце.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,настала весна пригрело солнце 
91,"Лисичкина избушка растаяла, а зайкина стоит, как стояла.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,лисичкина избушка растаяла а зайкина стоит как стояла 
92,"Пришла лисица в зайкину избушку, выгнала зайку, а сама в его избушке осталась.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,пришла лисица в зайкину избушку выгнала зайку а сама в его избушке осталась 
93,"Пошёл зайка со своего двора, сел под берёзкою и плачет.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,пошёл зайка со своего двора сел под берёзкою и плачет 
94,Идёт волк.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,идёт волк 
95,Видит — зайка плачет.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,видит зайка плачет 
96,"— Чего ты, зайка, плачешь?",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/, чего ты зайка плачешь 
97,— спрашивает волк.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/, спрашивает волк 
98,"— Как же мне, зайке, не плакать?",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/, как же мне зайке не плакать 
99,Жили мы с лисичкой близко друг возле друга.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,жили мы с лисичкой близко друг возле друга 
100,"Построили мы себе избы: я — из сыпучего песка, а она — из сыпучего снежка.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,построили мы себе избы я из сыпучего песка а она из сыпучего снежка 
101,Настала весна.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,настала весна 
102,"Её избушка растаяла, а моя стоит, как стояла.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,её избушка растаяла а моя стоит как стояла 
103,"Пришла лисичка, выгнала меня из моей избушки и сама в ней жить осталась.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,пришла лисичка выгнала меня из моей избушки и сама в ней жить осталась 
104,Вот я и сижу да плачу.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,вот я и сижу да плачу 
105,"— Не плачь, зайка.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/, не плачь зайка 
106,"Пойдём, я тебе помогу, выгоню лисичку из твоей избы.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,пойдём я тебе помогу выгоню лисичку из твоей избы 
107,Пошли они.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,пошли они 
108,Пришли.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,пришли 
109,Волк стал на пороге зайкиной избушки и кричит на лисичку: — Ты зачем залезла в чужую избу?,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,волк стал на пороге зайкиной избушки и кричит на лисичку ты зачем залезла в чужую избу 
110,"Слезай, лиса, с печи, а то сброшу, побью тебе плечи.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,слезай лиса с печи а то сброшу побью тебе плечи 
111,"Не испугалась лисичка, отвечает волку: — Ой, волк, берегись: мой хвост что прут, — как дам, так и смерть тебе тут.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,не испугалась лисичка отвечает волку ой волк берегись мой хвост что прут как дам так и смерть тебе тут 
112,Испугался волк да наутёк.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,испугался волк да наутёк 
113,И зайку покинул.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,и зайку покинул 
114,Сел опять зайка под берёзкой и горько плачет.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,сел опять зайка под берёзкой и горько плачет 
115,Идёт по лесу медведь.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,идёт по лесу медведь 
116,Видит — зайчик сидит под берёзкой и плачет.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,видит зайчик сидит под берёзкой и плачет 
117,"— Чего, зайка, плачешь?",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/, чего зайка плачешь 
118,— спрашивает медведь.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/, спрашивает медведь 
119,"— Как же мне, зайке, не плакать?",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/, как же мне зайке не плакать 
120,Жили мы с лисичкой близко друг возле друга.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,жили мы с лисичкой близко друг возле друга 
121,"Построили мы себе избы: я — из сыпучего песка, а она — из сыпучего снежка.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,построили мы себе избы я из сыпучего песка а она из сыпучего снежка 
122,Настала весна.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,настала весна 
123,"Её избушка растаяла, а моя стоит, как стояла.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,её избушка растаяла а моя стоит как стояла 
124,"Пришла лисичка, выгнала меня из моей избушки и сама там жить осталась.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,пришла лисичка выгнала меня из моей избушки и сама там жить осталась 
125,Так вот я сижу и плачу.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,так вот я сижу и плачу 
126,"— Не плачь, зайка.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/, не плачь зайка 
127,"Пойдём, я тебе помогу, выгоню лисичку из твоей избы.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,пойдём я тебе помогу выгоню лисичку из твоей избы 
128,Пошли они.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,пошли они 
129,Пришли.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,пришли 
130,Медведь стал на пороге зайкиной избушки и кричит на лисичку: — Зачем отняла у зайки избу?,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,медведь стал на пороге зайкиной избушки и кричит на лисичку зачем отняла у зайки избу 
131,"Слезай, лиса, с печи, а то сброшу, побью тебе плечи.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,слезай лиса с печи а то сброшу побью тебе плечи 
132,"Не испугалась лисичка, отвечает медведю: — Ох, медведь, берегись: мой хвост что прут,— как дам, так и смерть тебе тут.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,не испугалась лисичка отвечает медведю ох медведь берегись мой хвост что прут как дам так и смерть тебе тут 
133,Испугался медведь да наутёк и зайку одного покинул.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,испугался медведь да наутёк и зайку одного покинул 
134,"Опять пошёл зайка со своего двора, сел под берёзкою и горько плачет.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,опять пошёл зайка со своего двора сел под берёзкою и горько плачет 
135,Вдруг видит — идёт по лесу петух.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,вдруг видит идёт по лесу петух 
136,"Увидел зайчика, подошёл и спрашивает: — Чего, зайка, плачешь?",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,увидел зайчика подошёл и спрашивает чего зайка плачешь 
137,"— Да как же мне, зайке, не плакать?",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/, да как же мне зайке не плакать 
138,Жили мы с лисичкой близко друг возле друга.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,жили мы с лисичкой близко друг возле друга 
139,"Построили мы себе избы: я — из сыпучего песка, а она — из сыпучего снежка.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,построили мы себе избы я из сыпучего песка а она из сыпучего снежка 
140,Настала весна.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,настала весна 
141,"Её избушка растаяла, а моя стоит, как стояла.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,её избушка растаяла а моя стоит как стояла 
142,"Пришла лисичка, выгнала меня из моей избушки и сама там жить осталась.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,пришла лисичка выгнала меня из моей избушки и сама там жить осталась 
143,Вот я сижу да плачу.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,вот я сижу да плачу 
144,"— Не плачь, зайка, я выгоню лису из твоей избушки.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/, не плачь зайка я выгоню лису из твоей избушки 
145,"— Ой, петенька,— плачет зайка,— где тебе её выгнать?",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/, ой петенька плачет зайка где тебе её выгнать 
146,Волк гнал — не выгнал.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,волк гнал не выгнал 
147,Медведь гнал — не выгнал.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,медведь гнал не выгнал 
148,— А вот я выгоню.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/, а вот я выгоню 
149,"Пойдём,— говорит петух.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,пойдём говорит петух 
150,Пошли.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,пошли 
151,"Вошёл петух в избушку, стал на пороге, кукарекнул, а потом как закричит: — Я — петух-чебетух, Я — певун-лопотун, На коротких ногах, На высоких пятах.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,вошёл петух в избушку стал на пороге кукарекнул а потом как закричит я петух-чебетух я певун-лопотун на коротких ногах на высоких пятах 
152,"На плече косу несу, Лисе голову снесу.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,на плече косу несу лисе голову снесу 
153,"А лисичка лежит и говорит: — Ой, петух, берегись: мой хвост что прут,— как дам, так и смерть тебе тут.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,а лисичка лежит и говорит ой петух берегись мой хвост что прут как дам так и смерть тебе тут 
154,"Прыгнул петушок с порога в избу и опять кричит: — Я — петух-чебетух, Я — певун-лопотун, На коротких ногах, На высоких пятах.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,прыгнул петушок с порога в избу и опять кричит я петух-чебетух я певун-лопотун на коротких ногах на высоких пятах 
155,"На плече косу несу, Лисе голову снесу.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,на плече косу несу лисе голову снесу 
156,И — прыг на печь к лисе.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,и прыг на печь к лисе 
157,Клюнул лису в спину.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,клюнул лису в спину 
158,"Как подскочит лисица да как побежит вон из зайкиной избушки, а зайка и двери захлопнул за нею.",Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,как подскочит лисица да как побежит вон из зайкиной избушки а зайка и двери захлопнул за нею 
159,И остался он жить в своей избушке вместе с петушком.,Заюшкина избушка,https://skazki-pesni.ru/zayushkina-izbushka/,и остался он жить в своей избушке вместе с петушком 
160,Детский короткий вариант Жили-были дед да баба.,Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/,детский короткий вариант жили-были дед да баба 
161,И была у них Курочка Ряба.,Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/,и была у них курочка ряба 
162,"Снесла курочка яичко, да не простое — золотое.",Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/,снесла курочка яичко да не простое золотое 
163,Дед бил — не разбил.,Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/,дед бил не разбил 
164,Баба била — не разбила.,Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/,баба била не разбила 
165,"А мышка бежала, хвостиком махнула, яичко упало и разбилось.",Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/,а мышка бежала хвостиком махнула яичко упало и разбилось 
166,"Плачет дед, плачет баба и говорит им Курочка Ряба: — Не плачь, дед, не плачь, баба: снесу вам новое яичко не золотое, а простое!",Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/,плачет дед плачет баба и говорит им курочка ряба не плачь дед не плачь баба снесу вам новое яичко не золотое а простое 
167,"Оригинальный полный вариант сказки Жил себе дед да баба, у них была курочка Ряба; снесла под полом яичко — пестро, востро, костяно, мудрено!",Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/,оригинальный полный вариант сказки жил себе дед да баба у них была курочка ряба снесла под полом яичко пестро востро костяно мудрено 
168,"Дед бил — не разбил, баба била — не разбила, а мышка прибежала да хвостиком раздавила.",Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/,дед бил не разбил баба била не разбила а мышка прибежала да хвостиком раздавила 
169,"Дед плачет, баба плачет, курочка кудкудачет, ворота скрипят, со двора щепки летят, на избе верх шатается!",Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/,дед плачет баба плачет курочка кудкудачет ворота скрипят со двора щепки летят на избе верх шатается 
170,"Шли за водою поповы дочери, спрашивают деда, спрашивают бабу: — О чем вы плачете?",Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/,шли за водою поповы дочери спрашивают деда спрашивают бабу о чем вы плачете 
171,— Как нам не плакать!,Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/, как нам не плакать 
172,— отвечают дед да баба.,Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/, отвечают дед да баба 
173,"— Есть у нас курочка Ряба; снесла под полом яичко — пестро, востро, костяно, мудрено!",Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/, есть у нас курочка ряба снесла под полом яичко пестро востро костяно мудрено 
174,"Дед бил — не разбил, баба била — не разбила, а мышка прибежала да хвостиком раздавила.",Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/,дед бил не разбил баба била не разбила а мышка прибежала да хвостиком раздавила 
175,"Как услышали это поповы дочери, со великого горя бросили ведра наземь, поломали коромысла и воротились домой с пустыми руками.",Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/,как услышали это поповы дочери со великого горя бросили ведра наземь поломали коромысла и воротились домой с пустыми руками 
176,"— Ах, матушка!",Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/, ах матушка 
177,— говорят они попадье.,Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/, говорят они попадье 
178,"— Ничего ты не знаешь, ничего не ведаешь, а на свете много деется: живут себе дед да баба, у них курочка Ряба; снесла под полом яичко — пестро, востро, костяно, мудрено!",Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/, ничего ты не знаешь ничего не ведаешь а на свете много деется живут себе дед да баба у них курочка ряба снесла под полом яичко пестро востро костяно мудрено 
179,"Дед бил — не разбил, баба била — не разбила, а мышка прибежала да хвостиком раздавила.",Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/,дед бил не разбил баба била не разбила а мышка прибежала да хвостиком раздавила 
180,"Оттого дед плачет, баба плачет, курочка кудкудачет, ворота скрипят, со двора щепки летят, на избе верх шатается.",Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/,оттого дед плачет баба плачет курочка кудкудачет ворота скрипят со двора щепки летят на избе верх шатается 
181,"А мы, идучи за водою, ведра побросали, коромысла поломали!",Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/,а мы идучи за водою ведра побросали коромысла поломали 
182,"На ту пору попадья плачет, и курочка кудкудачет, тотчас с великого горя опрокинула квашню и все тесто разметала по полу.",Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/,на ту пору попадья плачет и курочка кудкудачет тотчас с великого горя опрокинула квашню и все тесто разметала по полу 
183,Пришел поп с книгою.,Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/,пришел поп с книгою 
184,"— Ах, батюшка!",Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/, ах батюшка 
185,— сказывает ему попадья.,Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/, сказывает ему попадья 
186,"— Ничего ты не знаешь, ничего не ведаешь, а на свете много деется: живут себе дед да баба, у них курочка Ряба; снесла под полом яичко — пестро, востро, костяно, мудрено!",Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/, ничего ты не знаешь ничего не ведаешь а на свете много деется живут себе дед да баба у них курочка ряба снесла под полом яичко пестро востро костяно мудрено 
187,"Дед бил — не разбил, баба била — не разбила, а мышка прибежала да хвостиком раздавила.",Курочка Ряба,https://skazki-pesni.ru/kurochka-ryaba/,дед бил не разбил баба била не разбила а мышка прибежала да хвостиком раздавила 
